"les 2;5 choses à savoir sur François Bayrou, le nouveau Premier ministre;https://www.legorafi.fr/2024/12/13/5-choses-a-savoir-sur-francois-bayrou-le-nouveau-premier-ministre/"
les 2;5 choses à savoir sur Michel Barnier;https://www.legorafi.fr/2024/09/05/5-choses-a-savoir-sur-michel-barnier/
les 2;Live Législatives 2024 second tour;https://www.legorafi.fr/2024/07/07/live-legislatives-2024-second-tour/
Gorafi;80% des femmes admettent que le plus beau cadeau de fête des mères serait que leurs enfants soient ailleurs;https://www.legorafi.fr/2025/05/23/80-des-femmes-admettent-que-le-plus-beau-cadeau-de-fete-des-meres-serait-que-leurs-enfants-soient-ailleurs/
"Gorafi;Par sécurité, Bruno Retailleau propose d’arrêter tous les musulmans qui ont des frères;https://www.legorafi.fr/2025/05/27/par-securite-bruno-retailleau-propose-darreter-tous-les-musulmans-qui-ont-des-freres/"
Gorafi;Paris : il fait fortune en renommant sa boulangerie en “bar à pains”;https://www.legorafi.fr/2025/05/23/paris-il-fait-fortune-en-renommant-sa-boulangerie-en-bar-a-pains/
Gorafi;Une chaîne d’info en continu crée la polémique en oubliant d’inviter Louis Sarkozy;https://www.legorafi.fr/2025/05/26/une-chaine-dinfo-en-continu-cree-la-polemique-en-oubliant-dinviter-louis-sarkozy/
"Gorafi;Élisabeth Borne salue le courage du pape François “qui continue de travailler après 88 ans, lui”;https://www.legorafi.fr/2025/04/03/elisabeth-borne-salue-le-courage-du-pape-francois-qui-continue-de-travailler-apres-88-ans-lui/"
Gorafi;Vladimir Poutine offre l’asile politique à Marine Le Pen;https://www.legorafi.fr/2025/03/31/vladimir-poutine-offre-lasile-politique-a-marine-le-pen/
Gorafi;In Memoriam : Michel Barnier (2024-2024);https://www.legorafi.fr/2024/12/04/in-memoriam-michel-barnier-2024-2024/
Gorafi;Écologie – Agnès Pannier-Runacher s’engage à planter un arbre pour chaque promesse non tenue;https://www.legorafi.fr/2024/10/30/ecologie-agnes-pannier-runacher-sengage-a-planter-un-arbre-pour-chaque-promesse-non-tenue/
Gorafi;Emmanuel Macron décide de ne pas expliquer sa stratégie politique car les Français ne la comprendraient pas;https://www.legorafi.fr/2024/10/17/emmanuel-macron-decide-de-ne-pas-expliquer-sa-strategie-politique-car-les-francais-ne-la-comprendraient-pas/
Gorafi;Bruno Le Maire fustige le bilan économique désastreux d’Antoine Armand;https://www.legorafi.fr/2024/10/16/bruno-le-maire-fustige-le-bilan-economique-desastreux-dantoine-armand/
Gorafi;Les Français estiment que Bruno Retailleau n’est pas une chance pour la France;https://www.legorafi.fr/2024/10/03/les-francais-estiment-que-bruno-retailleau-nest-pas-une-chance-pour-la-france/
"Gorafi;Michel Barnier : « Je représenterai tous les citoyens, qu’ils soient LR, Renaissance ou RN »;https://www.legorafi.fr/2024/09/18/michel-barnier-je-representerai-tous-les-citoyens-quils-soient-lr-renaissance-ou-rn/"
Gorafi;Emmanuel Macron déclare une trêve paralympique;https://www.legorafi.fr/2024/08/28/emmanuel-macron-declare-une-treve-paralympique/
Gorafi;Marine Le Pen accuse le vote des Français de faire le jeu du Nouveau Front Populaire;https://www.legorafi.fr/2024/07/07/marine-le-pen-accuse-le-vote-des-francais-de-faire-le-jeu-du-nouveau-front-populaire/
Gorafi;Les Français majoritairement opposés à un Premier ministre prénommé Jordan;https://www.legorafi.fr/2024/07/07/les-francais-majoritairement-opposes-a-un-premier-ministre-prenomme-jordan/
Gorafi;Eric Ciotti annonce son ralliement aux Républicains;https://www.legorafi.fr/2024/07/07/eric-ciotti-annonce-son-ralliement-aux-republicains/
"Gorafi;Pour rester en bonne santé, Jordan Bardella recommande aux étrangers de faire 10 000 pas par jour vers la frontière;https://www.legorafi.fr/2024/07/04/pour-rester-en-bonne-sante-jordan-bardella-recommande-aux-etrangers-de-faire-10-000-pas-par-jour-vers-la-frontiere/"
Gorafi;Fact-check : Cyril Hanouna a-t-il vraiment utilisé une piñata Manuel Bompard dans son émission ?;https://www.legorafi.fr/2024/06/30/fact-check-cyril-hanouna-a-t-il-vraiment-utilise-une-pinata-manuel-bompard-dans-son-emission/
autre;Jeux Olympiques : Emmanuel Macron appelle à une « trêve politique »;https://www.publicsenat.fr/actualites/politique/jeux-olympiques-emmanuel-macron-appelle-a-une-treve-politique
